,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
814,1502539224,9.2,8.150828179,6.9,250,1.30446781,5.40792473,1.469271602,CB,69.60081883,25.03,45.03,2014
787,1490530053,10.0,8.2,8.3,50,0.264050863,1.173365188,0.335113098,CB,100,24.88,44.2,2014
817,1500238052,12.9,10.35303038,8.876190476,1050,8.83922436,50.02012088,14.32891144,CB,54.25498358,25,44.92,2014
785,1472237221,14.4,9.47544815,10.47254902,2550,17.98165168,106.7814526,30.52855508,CB,69.53454801,24.65,44.85,2014
810,1508538053,15.2,7.225615808,8.19047619,1050,4.305552732,19.25921397,5.49745888,CB,95.40222547,25.11,44.92,2014
811,1511236621,15.6,13.83258564,10.74,470,7.063085683,55.34561475,15.80670757,CB,91.09684369,25.14,44.8,2014
782,1472237252,18.2,11.06050827,13.67241379,2870,27.57540806,212.3443693,60.64555188,CB,87.31767737,24.65,44.85,2014
781,1488236852,18.4,8.109643382,7.926315789,950,4.907010645,22.27445959,5.986474358,CB,80.90207753,24.85,44.82,2013
784,1478538424,20.0,8.435530915,6.872727273,550,3.073812792,13.78336451,3.657724866,CB,67.86289189,24.73,44.96,2017
801,1518240852,21.7,10.20743193,8.575,600,4.909916618,24.33892032,6.951195644,CB,100,25.23,45.18,2015
806,1514536853,22.5,12.71035727,15.60454545,2200,27.9143859,241.6520612,68.97652339,CB,42.6240163,25.18,44.82,2014
788,1511236652,22.8,15.17679149,12.80869565,1060,19.17589671,142.4562561,39.24747809,CB,39.94180994,25.14,44.8,2014
818,1474539224,24.9,8.773869404,11.29411765,2550,15.41744449,93.27318351,26.49581774,CB,59.59419463,24.68,45.03,2017
778,1480237252,25.6,9.049729278,9.616,1250,8.040278078,43.47894744,12.20674704,CB,35.47796272,24.75,44.85,2014
812,1508238052,26.2,8.147433134,9.004444444,2250,11.73043208,57.78830934,15.82575458,CB,41.89573269,25.1,44.92,2014
816,1472537224,29.0,14.57760962,14.425,940,15.68882311,131.2207405,37.71755224,CB,62.48024066,24.65,44.85,2014
802,1470237621,29.1,14.02720354,10.80588235,820,12.67202238,84.71518566,23.9070042,CB,69.65843106,24.62,44.89,2015
803,1470242452,29.3,21.74322452,13.35714286,320,11.88195109,82.52360567,22.86387174,CB,48.95872775,24.62,45.32,2014
783,1482242421,29.7,12.84804892,9.653333333,1440,18.66924421,110.7934811,28.902204,CB,48.54712435,24.77,45.32,2015
777,1482236052,30.0,11.45765628,13.92957746,3550,36.60242112,283.2044707,80.9060157,CB,71.67957875,24.77,44.74,2016
793,1514237621,35.0,13.20691107,11.525,200,2.739822223,22.56285789,6.443952212,CB,100,25.18,44.89,2017
789,1510240052,37.4,17.08770128,20.52105263,860,19.72221182,226.0724597,64.64508948,CB,63.30097004,25.13,45.1,2016
809,1468540453,38.4,12.27978696,10.51764706,1610,19.06766099,139.6676334,36.46212048,CB,50.81060354,24.6,45.14,2016
813,1485237052,39.6,13.05086344,12.425,1370,18.32689701,139.5603712,40.07987798,CB,58.5973379,24.81,44.83,2014
776,1481538224,40.6,13.30383094,13.26451613,1460,20.29533257,169.871829,47.48931862,CB,35.20460721,24.76,44.94,2017
797,1500542024,42.0,22.48617119,13.42,380,15.09053036,131.6559279,37.60093301,CB,39.03459103,25,45.28,2016
805,1513236652,44.3,13.28125076,11.97297297,1850,25.6294663,190.9525591,52.59739838,CB,57.06957338,25.17,44.8,2015
795,1484536453,44.8,22.82553656,20.04285714,840,34.37250294,402.5148073,115.6292693,CB,37.59915087,24.8,44.78,2014
800,1480239652,50.0,15.41378586,14.6516129,1460,27.24340455,263.9822122,76.00939818,CB,42.76398891,24.75,45.07,2017
815,1466539253,50.0,13.43971213,16.64310345,2900,41.1403339,376.6277847,104.4833882,CB,89.9958955,24.57,45.03,2016
791,1456237221,50.6,24.36300233,20.1625,340,15.8500418,175.6633252,50.37877213,CB,72.56557837,24.45,44.85,2014
786,1480241252,51.3,19.85800742,22.09130435,1090,33.75885565,395.6807989,113.0064362,CB,77.6279514,24.75,45.21,2015
794,1510238452,60.0,29.32337331,27.73333333,450,30.38996877,445.5804439,127.2577748,CB,88.21214848,25.13,44.96,2017
804,1506240821,60.0,23.7344335,19.84666667,570,25.21868735,279.4626641,80.32797723,CB,52.4425609,25.08,45.17,2015
807,1485537024,60.0,19.9887915,13.76923077,560,17.57320537,134.1081198,38.301279,CB,88.97491277,24.81,44.83,2014
808,1482540824,60.0,19.75955465,17.4,170,5.213064602,50.16414002,14.32687839,CB,100,24.78,45.17,2017
780,1494540853,63.3,26.54169676,11.8,180,9.959092185,83.0843038,23.72887716,CB,97.63360674,24.93,45.18,2013
790,1512538053,72.0,28.71546622,23.28,350,22.66677164,290.1914739,83.45584268,CB,47.47569395,25.16,44.92,2016
796,1500229252,73.3,22.77339578,20.875,450,18.32981083,227.7628757,65.53916391,CB,41.43125212,25,44.13,2017
798,1474241652,76.7,37.0443428,13.93333333,240,25.86693143,269.7206794,76.53680366,CB,56.52627396,24.67,45.25,2013
779,1496240452,85.0,36.47122153,20.16666667,150,15.67046051,184.361889,52.65375549,CB,68.51337508,24.95,45.14,2015
792,1472540424,90.0,43.57556655,15.73333333,60,8.948025568,82.37132038,23.5252491,CB,100,24.65,45.14,2013
799,1492239621,95.7,33.05186655,23.77142857,170,14.58581779,195.2492328,56.13237737,CB,37.86108558,24.9,45.07,2014
