,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
346,1508243652,10,9.181191955,7.442857143,350,2.317160201,9.365547359,2.641365322,FS,100,25.1,45.43,2017
195,1460242821,11.45714286,8.349217243,10.22,1750,9.581190005,54.11661099,15.18093744,FS,97.31087822,24.49,45.35,2014
217,1460542853,14.88095238,12.09290426,10.8452381,2100,24.11961687,153.6407417,43.19189665,FS,98.06284913,24.49,45.36,2014
347,1518243221,15,11.98612835,7.9,550,6.205980668,28.23416472,6.85066256,FS,52.36151714,25.23,45.39,2017
406,1474541624,18.33333333,15.09436981,10.00833333,570,10.1998717,64.08134603,18.02420221,FS,38.71028881,24.67,45.25,2013
246,1480240421,19.80769231,11.08326397,10.33846154,1270,12.25261976,76.31685784,21.53585237,FS,95.41803523,24.75,45.14,2015
414,1514542453,20,8.918290287,10.80163934,3050,19.05254208,117.6488096,29.42017632,FS,56.76063392,25.18,45.32,2016
424,1516542824,20,7.777297965,7.672727273,550,2.61282334,11.19954196,2.872162938,FS,75.65191253,25.21,45.35,2015
419,1500538053,22.24137931,12.65088248,14.99655172,1450,18.22634248,154.6464197,43.61492975,FS,100,25,44.92,2014
192,1488542053,22.42857143,9.441443594,8.892857143,3500,24.50387292,133.0094571,37.51543373,FS,99.09853747,24.85,45.28,2015
215,1486544024,27.27272727,10.84247346,8.254545455,520,4.801201805,31.79479746,8.967086729,FS,100,24.83,45.46,2015
394,1468238852,27.5,9.685278822,10.92666667,1470,10.83007519,76.75311899,21.54252067,FS,96.34471546,24.6,45,2017
161,1466543253,27.88461538,11.46377237,10.59230769,1300,13.41801711,81.23087388,22.98544417,FS,81.41456947,24.57,45.39,2014
205,1486242452,28.36734694,13.13411588,15.59387755,2360,31.974486,313.9903495,78.56085427,FS,41.15625017,24.82,45.32,2014
264,1476538053,28.75,16.7079646,11.95625,740,16.22440183,123.9575272,32.69283929,FS,45.21990444,24.7,44.92,2014
403,1498540024,28.76923077,11.29342218,12.95538462,3250,32.5555,242.9722201,68.54025259,FS,90.7704166,24.98,45.1,2014
