,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
27,1508242821,10,7,3.3,50,0.19242255,0.424822788,0.08217772,PA,100,25.1,45.35,2014
95,1460542824,15,9.88772688,6.9,350,2.687514705,10.90986697,2.110404667,PA,100,24.5,45.35,2014
83,1486544053,20,7.228554489,5.29,500,2.051931242,6.554349792,1.437096419,PA,68.10648396,24.83,45.46,2015
65,1512543653,23,10.44557323,8.73,500,4.28473968,20.97619886,4.839851041,PA,57.21657043,25.16,45.43,2015
79,1508245252,23.33333333,11.61605607,6.905555556,870,9.21990685,42.97872488,8.446985044,PA,96.63880595,25.1,45.57,2016
126,1466543224,25.24590164,11.92612678,13.07868852,2960,33.06590671,264.6438028,62.52750693,PA,43.47913105,24.57,45.39,2014
33,1516244421,30,13.31397121,7.747058824,820,11.41613144,79.39496412,15.35816186,PA,100,25.21,45.5,2014
48,1494244052,30,12.38285104,6.975,200,2.408580548,9.366829932,1.811919582,PA,100,24.93,45.47,2014
60,1492245221,30,10.3049652,6.461538462,650,5.421210823,24.41093001,4.722050301,PA,100,24.9,45.57,2016
112,1494544024,30,14.54421829,8.871428571,350,5.814852382,33.33911859,6.4491191,PA,100,24.93,45.46,2015
59,1496543653,30.1369863,12.46973322,11.15753425,3650,44.57558692,312.7838383,62.09011897,PA,94.84066714,24.95,45.43,2015
25,1494244021,36.66666667,18.14331833,10.27777778,450,11.63418153,69.14036025,13.37451129,PA,100,24.93,45.46,2014
116,1476542824,37.71428571,17.78294126,11.78,1600,39.73901078,261.6407865,50.61179374,PA,100,24.7,45.35,2014
82,1504542853,38,19.19267221,14.02,750,21.69811652,187.9999954,39.48281198,PA,72.33384853,25.06,45.36,2015
100,1494542424,38.11320755,14.86754934,16.08113208,2560,44.44353793,433.463603,94.696017,PA,57.70164404,24.93,45.32,2015
41,1500543624,38.4375,11.35598567,8.70625,1510,15.29383852,90.11945922,17.43270819,PA,100,25,45.43,2015
28,1486544853,40,15.86962637,14.656,2440,48.26286637,436.8759578,93.03791513,PA,79.75414413,24.83,45.54,2016
39,1506544053,40,11.85406131,10.94415584,3820,42.15873613,286.5797933,55.43599521,PA,100,25.08,45.46,2016
53,1494544053,40,15.6,5.8,50,0.955672485,5.205569081,1.006965283,PA,100,24.93,45.47,2014
74,1472244452,40,13.53525027,11.092,2500,35.97182493,225.8163299,51.4226312,PA,59.83275383,24.64,45.5,2017
