,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
601,1480532853,10,6.581084004,6.92,750,2.551208854,10.85435659,3.165481942,QC,85.81411815,24.75,44.46,2017
640,1505531824,14.54545455,8.36252463,7.736363636,550,3.020837686,13.78378756,4.01405066,QC,80.3678908,25.07,44.36,2016
618,1492230021,17.67857143,10.75604481,9.65,1400,12.72105478,74.36135128,21.71971403,QC,90.04905245,24.9,44.2,2014
712,1498232452,20,16.38843401,10.37692308,1300,27.42256957,187.0020333,54.26837996,QC,46.20841747,24.98,44.42,2016
683,1460238052,22.2,11.98712766,10.468,1220,13.76828899,91.6951125,26.6069044,QC,87.76741622,24.5,44.92,2015
628,1510534053,23.33333333,13.44521878,7.661111111,870,12.3522161,64.2401803,18.67482511,QC,96.57320191,25.13,44.56,2013
681,1506532053,23.38235294,12.96119775,12.47941176,1700,22.4299898,156.6902171,45.85062809,QC,97.65500941,25.08,44.38,2014
636,1506234021,24.89795918,11.25523386,9.618367347,2420,24.0776609,170.4863292,49.37348191,QC,51.29701462,25.08,44.56,2016
591,1505529424,25,15.30760595,14.944,1250,23.0045871,181.7810411,53.21458198,QC,95.62996004,25.07,44.15,2011
686,1506232021,26.08108108,13.65962684,11.83783784,1850,27.11060942,190.0087818,55.34110679,QC,77.73021846,25.08,44.38,2014
617,1464538053,26.5,11.87829954,10.11,500,5.540748423,32.3788694,9.457124703,QC,91.28524246,24.55,44.92,2016
664,1506232052,27.61904762,15.27218137,12.26666667,1050,19.23451883,129.4720605,37.67636347,QC,75.77087115,25.08,44.38,2014
625,1460538053,27.75,13.42955273,12.095,970,13.73993611,124.1191893,36.15474647,QC,55.24506669,24.5,44.92,2015
587,1505234252,29.67741935,10.74145572,12.72741935,3100,28.09168954,199.9845879,58.42338382,QC,97.06898311,25.07,44.58,2015
592,1496230021,30,11.58699177,11.84324324,1850,19.5075625,125.9112244,36.85925182,QC,77.05996505,24.95,44.2,2017
641,1518530453,30,11.33454895,10.61428571,1750,17.65779275,107.3467563,31.21543158,QC,68.41179401,25.23,44.24,2017
663,1517234221,30,13.8038491,12.72916667,1200,17.95856098,130.0398743,38.05563609,QC,97.66548366,25.22,44.58,2017
682,1518530424,30,10.49954324,10.83265306,2450,21.21274046,129.2434278,37.77166629,QC,92.01244775,25.23,44.24,2017
650,1537531824,31.03448276,12.59440215,11.80344828,1450,18.06396141,121.2559073,32.58635335,QC,36.29148143,25.47,44.36,2015
612,1506234052,32.5,18.06951853,12.725,400,10.25753563,80.93495784,23.69289956,QC,100,25.08,44.56,2016
629,1513534624,33.33333333,18.40875516,14.81666667,750,19.96181324,157.8250147,46.12088692,QC,93.48964042,25.17,44.62,2013
680,1548528424,33.47222222,10.8318717,8.236111111,1800,16.58705943,82.092669,24.02369536,QC,70.94766399,25.6,44.06,2014
690,1541225821,34.11764706,14.72998061,13.71764706,730,12.4399058,115.3371086,33.42617106,QC,55.16696249,25.51,43.82,2014
671,1509231852,34.41176471,12.82314085,13.75588235,1700,21.9547061,156.0020194,45.52685061,QC,87.70641349,25.12,44.37,2014
596,1548531224,35,17.45315158,12.6,360,8.61271553,75.73716904,22.11509571,QC,61.40435855,25.61,44.31,2013
654,1521228621,35,12.15138383,9.458064516,1550,17.97517215,115.767354,33.71369785,QC,63.8947511,25.26,44.08,2015
703,1494530053,35,13.28100796,12.44482759,1450,20.08722562,128.1671262,37.51964451,QC,95.11961479,24.93,44.21,2015
595,1492230052,35.35714286,17.42915009,14.03571429,550,13.12214977,129.9897501,37.91233046,QC,86.93564506,24.9,44.2,2014
679,1512231652,35.90909091,18.26806067,14.08181818,490,12.84312922,99.0728502,28.92080072,QC,84.39137693,25.15,44.35,2016
635,1553231021,36.66666667,15.70685402,12.27916667,1140,22.08885211,172.781835,50.29515787,QC,58.08898186,25.67,44.29,2015
597,1509534224,37.41935484,13.66732624,14.29677419,1550,22.73990791,176.546087,51.6821015,QC,88.80250472,25.12,44.58,2016
674,1507234621,38.33333333,14.80140759,11.98333333,600,10.32398032,72.0071763,20.94585767,QC,62.86164216,25.09,44.62,2016
691,1516228421,38.33333333,18.24663338,11.31666667,270,7.060234688,50.40624871,14.75592525,QC,70.59591127,25.2,44.06,2014
630,1509234221,38.57142857,17.81893054,16.52857143,700,17.45625958,147.0484277,43.04695672,QC,94.45491766,25.12,44.58,2016
669,1538532053,38.91304348,14.83792145,14.83913043,1150,19.88537829,151.5592551,44.01551125,QC,67.64564741,25.48,44.38,2014
699,1532231652,38.91304348,15.57908297,13.33913043,1150,21.9215623,150.683617,44.06576541,QC,86.44890618,25.4,44.35,2014
611,1505234221,38.96551724,15.837657,15.94482759,1450,28.56536317,233.1478375,68.25169796,QC,100,25.07,44.58,2015
673,1549229021,39.375,16.37169814,13.65625,1600,33.68195732,233.1949962,68.25836512,QC,99.25382183,25.61,44.11,2015
605,1503229052,40,15.79120712,11.25,270,5.287913047,42.35303706,12.38595441,QC,63.68490468,25.04,44.11,2017
613,1514237652,40,20.47843438,12.46666667,510,16.79784459,167.7745393,48.64243826,QC,48.87111022,25.18,44.89,2017
615,1503531824,40,19.66637919,17.64117647,850,25.82008243,221.3286958,64.79176242,QC,100,25.04,44.36,2014
634,1486236421,40,13.99984419,13.51428571,2040,31.40266116,245.5352665,71.24994161,QC,56.62777701,24.83,44.78,2017
643,1506534053,40,15.77551931,15.50454545,1070,20.91418705,177.8101496,52.0521432,QC,95.10303971,25.08,44.56,2016
644,1505231821,40,17.54976923,16.004,1250,30.23727951,241.6673657,70.74570462,QC,100,25.07,44.36,2016
656,1504229621,40,12.88631139,15.97021277,2350,30.64890669,265.6654604,76.98796784,QC,57.91345705,25.05,44.17,2016
659,1553530624,40,14.66411824,10.69,440,7.431123263,50.29695194,14.59532495,QC,73.5575447,25.67,44.25,2016
676,1507534624,40,14.76818918,11.44117647,850,14.56006458,96.2637807,28.18025916,QC,64.74651333,25.09,44.62,2016
687,1507231821,40,17.50518691,17.3952381,1020,24.5484207,212.0313647,62.0700617,QC,100,25.09,44.36,2017
657,1505534624,40.33333333,15.3660882,11.90666667,720,13.35208294,105.1585265,30.77368966,QC,97.78496573,25.07,44.62,2014
658,1506532453,41.29032258,12.36182845,8.961290323,1520,18.24311073,109.3761453,31.0852225,QC,52.2953682,25.08,44.42,2017
639,1532531653,41.35135135,15.42967481,16.11621622,1850,34.5919589,281.8484425,82.45803622,QC,97.80491487,25.41,44.35,2014
633,1549529053,42.30769231,21.95884262,15.63846154,650,24.6162634,185.1490377,54.20052931,QC,100,25.62,44.11,2015
619,1536532053,42.5,19.83738281,13.95625,740,22.87127361,184.32409,53.82375704,QC,74.66790513,25.46,44.38,2015
648,1554530453,42.5,21.33784365,13.675,140,5.006324243,43.16894524,12.63727703,QC,100,25.68,44.24,2015
632,1536532024,42.94117647,16.11424288,13.41176471,850,17.33519045,156.6289563,45.77075889,QC,62.89232665,25.46,44.38,2015
651,1505529453,43.125,24.20675725,15.8625,310,14.26674193,107.7567598,31.54471386,QC,92.47973288,25.07,44.15,2011
608,1515234652,43.84615385,16.45548774,15.06153846,1300,27.64742907,223.3709346,65.3896074,QC,92.44782937,25.19,44.62,2015
695,1535531824,44.11764706,19.3938386,18.02352941,820,24.22318732,242.387819,70.9332037,QC,97.61605723,25.44,44.36,2014
668,1518230452,44.8,14.1523143,11.42,1250,19.66322842,128.8178744,37.6141792,QC,75.23186611,25.23,44.24,2017
623,1514234821,45,22.26745631,16.75625,770,29.98622699,239.0683833,69.98487852,QC,100,25.18,44.63,2015
708,1509533853,46,17.2381319,12.99,470,10.96902783,96.40795481,28.19734329,QC,95.45146895,25.12,44.55,2015
607,1547529053,48.88888889,25.48518926,19.04444444,390,19.8943711,176.8814913,51.78028778,QC,100,25.59,44.11,2013
694,1522532024,49,19.60841656,16.73,440,13.28702055,129.0871461,37.75300168,QC,93.61858381,25.28,44.38,2014
646,1549529024,49.09090909,26.25148058,17.81818182,430,23.27372734,193.2539945,56.57317435,QC,100,25.62,44.11,2015
647,1521533824,50,23.5196859,18.5,320,13.90281984,129.3385631,37.86257097,QC,87.63474674,25.27,44.54,2017
667,1533228621,50,20.3694488,15.9,450,14.66428692,113.5255411,33.2334669,QC,100,25.41,44.08,2015
672,1509231821,50,21.68925382,13.48823529,670,24.75448562,227.4217056,65.78821197,QC,66.53160422,25.12,44.36,2014
684,1529228652,50,22.28783732,14.89090909,520,20.28752571,157.4023872,46.02766459,QC,53.59642042,25.36,44.08,2017
706,1550230021,50,20.14844907,17.57142857,700,22.31881669,205.9255092,60.27009429,QC,98.55545233,25.63,44.2,2016
660,1514534853,50.83333333,25.02786542,15.99166667,420,20.66268685,173.2420593,50.71488043,QC,73.20032742,25.18,44.64,2015
662,1516228452,51.11111111,20.13551313,12.73333333,360,11.46351451,77.42997086,22.66684967,QC,75.31469405,25.2,44.06,2014
604,1501533024,51.2,15.62984694,10.812,1040,19.95412419,151.7057214,44.16000173,QC,86.10900519,25.02,44.47,2017
700,1537231852,52.94117647,21.29858291,19.81176471,820,29.21495028,315.4925764,92.3144477,QC,94.01188214,25.47,44.37,2015
599,1517528624,53.57142857,20.02571854,13.37142857,670,21.10283969,157.7548274,46.12260498,QC,72.89337059,25.22,44.08,2015
653,1516234421,54.6875,21.79260284,14.93125,650,24.24495856,225.2967699,65.65274173,QC,82.49089673,25.2,44.6,2014
701,1536232021,55,22.97535429,18.4,420,17.4125993,185.0446565,54.08351874,QC,66.35532524,25.45,44.38,2015
665,1532531624,55.26315789,22.31290076,14.1,740,28.93567841,250.1616898,72.9434318,QC,87.25935765,25.41,44.34,2014
609,1537531853,56.31578947,25.91456242,18.94736842,770,40.61330817,419.8058425,122.8472297,QC,49.98957311,25.47,44.37,2015
637,1516534453,56.42857143,24.29115065,15.55714286,260,12.04923305,107.5860343,31.39772277,QC,98.50009077,25.21,44.6,2014
589,1509533824,56.66666667,20.32800477,15.6,90,2.92093504,25.20759522,7.379271426,QC,100,25.12,44.54,2015
698,1509233821,57.14285714,22.28907306,15.64761905,900,35.11691903,303.3808225,88.71985916,QC,99.26033187,25.12,44.54,2015
670,1489536224,57.5,20.8516686,9.016666667,240,8.195637689,49.07790219,14.3642514,QC,98.37705307,24.86,44.76,2013
692,1539232252,57.69230769,20.94233989,16.66153846,500,17.22305916,173.6161588,50.76651491,QC,95.83780641,25.49,44.4,2015
620,1517228652,58,17.91146048,14.28666667,720,18.14196715,128.3584703,37.52308061,QC,95.13840012,25.21,44.08,2015
709,1515234621,58.57142857,18.75035833,17.27142857,320,8.836067059,78.96301318,23.11563248,QC,100,25.19,44.62,2015
704,1510234052,58.63636364,20.49106235,13.23636364,550,18.13767103,120.4624501,35.26417764,QC,100,25.13,44.56,2013
622,1517234252,59,25.08272563,18.33,320,15.81209136,151.744765,44.3507908,QC,70.36234077,25.22,44.58,2017
600,1521533853,60,26.76779782,19.09230769,440,24.76098086,232.8141252,68.15400701,QC,67.36063764,25.27,44.55,2017
614,1533528624,60,19.896877,16.63571429,700,21.7649539,176.1401958,51.56328092,QC,100,25.42,44.08,2015
627,1510234021,60,20.84848516,17.06,750,25.60354816,209.5792045,61.35221632,QC,100,25.13,44.56,2013
642,1515534624,60,26.94333084,19.15714286,260,14.82401334,132.793757,38.87404443,QC,100,25.19,44.62,2015
645,1521233852,60,25.65852261,19.08181818,460,23.78542995,217.1524457,63.56920694,QC,91.31237055,25.27,44.55,2017
666,1550230052,60,27.21924296,16.95,320,18.62052596,159.3552407,46.64965317,QC,76.18456629,25.63,44.2,2016
697,1506534024,60,11.8472641,11.99666667,1500,16.53549804,127.5329502,37.24349158,QC,87.22145566,25.08,44.56,2016
