,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
543,1504238052,15,7.02599071,8.7,550,2.132395284,11.31990221,2.815831973,QP,46.1335887,25.05,44.92,2017
575,1478237621,20,9.46599176,7.3,100,0.703756024,3.389584047,0.992266834,QP,100,24.72,44.89,2013
510,1480237221,25.28571429,9.468443831,12.01714286,3500,24.64422357,174.8506504,50.83886749,QP,67.55816177,24.75,44.85,2014
584,1485236652,26.96666667,15.00826439,15.47,1500,26.53640483,247.3756174,72.41673823,QP,82.90950419,24.81,44.8,2014
576,1500532424,31.25,14.18061581,9.9,740,11.68723518,92.2557364,26.79069336,QP,57.4955847,25,44.42,2016
509,1500532453,32.5,14.5444087,10.45,570,9.470150413,76.37498135,22.13418922,QP,64.26498774,25,44.42,2016
573,1494237652,32.68292683,11.70872095,12.1804878,2050,22.0730656,171.5289188,50.19121484,QP,94.03294158,24.93,44.89,2014
583,1500538853,33.33333333,18.34655962,11.4,240,6.344689837,68.76985245,19.98396569,QP,65.3826982,25,45,2017
574,1500238821,35.15151515,15.30355805,12.96060606,1530,28.14272471,257.1501651,75.08010692,QP,65.25798102,25,44.99,2017
532,1500232452,35.33333333,17.17855428,8.893333333,660,15.29702724,132.5724927,38.26492939,QP,35.0524235,25,44.42,2016
567,1514536824,36.41935484,15.26726416,14.73548387,1550,28.37553244,279.025243,81.56078863,QP,84.79982064,25.18,44.81,2014
552,1474236052,38.36363636,12.71184129,12.45454545,2750,34.90113089,286.2035607,82.85060747,QP,48.83926864,24.67,44.74,2017
516,1496538053,40,14.84972643,16.871875,1600,27.71065362,279.8434948,81.86591063,QP,96.54529325,24.95,44.93,2016
522,1508537224,40,19.1054592,20.16428571,700,20.06794409,228.2048431,66.80468578,QP,100,25.11,44.85,2017
518,1462540824,40.39130435,22.75710492,16.09565217,910,37.01393834,370.6000506,108.2884425,QP,95.14879061,24.52,45.17,2013
578,1462540853,40.45454545,22.91487508,12.65454545,400,16.49623599,134.7733545,38.90359673,QP,66.77863745,24.52,45.18,2013
586,1492540424,40.47619048,22.19851289,18.18095238,780,30.18785441,338.9639711,99.05075061,QP,93.11564312,24.9,45.14,2017
548,1506240852,41.71428571,19.39871871,18.70571429,1390,41.08192383,524.7442611,153.2358956,QP,89.74648394,25.08,45.18,2015
580,1462239252,41.72413793,16.4184102,14.96206897,1240,26.25268759,264.8457814,77.00655692,QP,80.76352751,24.52,45.03,2014
571,1492240452,43.75,20.733194,19.62083333,1050,35.44962155,408.0030381,118.2759808,QP,59.47416431,24.9,45.14,2017
551,1472538853,44.54545455,21.3341123,18.71818182,920,32.88719721,399.2196233,114.7829157,QP,50.78191663,24.65,45,2014
528,1498240021,45.52631579,17.96771959,14.05263158,950,24.08792605,217.7544069,63.62180605,QP,91.54279305,24.98,45.1,2014
508,1458538424,46,22.22394394,14.905,760,29.48123953,287.8706381,84.12051883,QP,92.44231534,24.47,44.96,2014
556,1481233852,48.13953488,15.0176795,12.6,2150,38.08325008,339.9908624,99.50554467,QP,54.2853961,24.76,44.55,2016
582,1494537653,48.33333333,15.03879243,14.13055556,1800,31.97336288,271.6560802,79.34856815,QP,86.70220279,24.93,44.89,2014
511,1486539253,48.51851852,20.23231949,19.74444444,1170,37.61552192,421.5619688,122.0684844,QP,61.65444266,24.83,45.03,2014
545,1470237652,49.28571429,21.64036915,14.30714286,520,19.12592968,163.2709122,47.61326796,QP,47.76211743,24.62,44.89,2015
526,1508538853,49.59183673,16.16308193,13.98163265,2300,47.19174821,438.8209079,127.517342,QP,74.40909376,25.11,45,2016
527,1512538024,52,20.50062456,19.476,1070,35.31895485,418.9112406,121.0369842,QP,54.2907712,25.16,44.92,2016
524,1498537653,52.14285714,23.2583123,16.52142857,550,23.36732324,252.6546749,72.83440258,QP,44.7955268,24.98,44.89,2016
507,1486238421,52.5,15.54199461,15.85833333,1140,21.62759562,226.7797176,63.4012044,QP,35.81975948,24.82,44.96,2016
521,1490238452,55,20.92546925,19.47894737,950,32.67111061,358.8656736,105.0543373,QP,80.35657836,24.88,44.96,2013
585,1510236852,56.36363636,17.32767761,14.53636364,1070,25.23215693,244.5304403,71.5732507,QP,98.97836962,25.13,44.82,2015
569,1498238421,56.42857143,21.65293641,14.80714286,580,21.35755217,206.8977058,59.77763146,QP,62.50722916,24.98,44.96,2014
544,1492539653,56.84210526,21.22797868,18.41578947,890,31.49902952,334.5595414,97.68264702,QP,90.80803836,24.9,45.07,2014
546,1508537253,60,20.64590931,20.90714286,700,23.43451405,271.5577309,79.49581013,QP,78.1317291,25.11,44.85,2017
523,1480236452,61.66666667,22.08730153,20.17777778,900,34.48400592,390.6320241,114.3536187,QP,100,24.75,44.78,2017
