,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
459,1498527224,15,14.51755642,10.38888889,1800,29.79541451,195.4340892,57.16839166,QR,95.83266336,24.98,43.95,2011
473,1513534653,22.8,15.89866347,11.368,1160,23.02868311,181.3871333,52.22723651,QR,35.06797654,25.17,44.62,2013
462,1505232652,26,13.2728545,9.94,750,10.37719104,79.59912354,22.94600271,QR,81.01175767,25.07,44.44,2014
491,1482225652,27.66666667,11.97792414,7.906666667,750,8.451119858,54.94865943,15.55169847,QR,79.1641497,24.78,43.81,2015
460,1505232621,30.45454545,15.4400277,11.4,1010,18.91069131,162.9551075,47.29224269,QR,63.15417863,25.07,44.44,2014
458,1500230052,30.88235294,18.88406542,16.96470588,820,22.96649528,230.1177461,67.2689887,QR,86.05549845,25,44.2,2015
445,1519528624,31.92307692,18.2039761,10,590,15.35586927,141.1562585,40.69135102,QR,57.21069811,25.24,44.08,2011
470,1531232621,35,13.26236758,11.19230769,1270,17.54428701,137.8847038,40.19716775,QR,77.70016304,25.39,44.44,2014
449,1480234021,35.68181818,14.73102377,11.71363636,980,16.70251296,149.6246168,42.84567841,QR,88.8853325,24.75,44.56,2015
506,1505532624,36.66666667,19.19945651,12.91333333,690,19.97638237,170.2029402,49.50568839,QR,52.84272649,25.07,44.44,2014
502,1485227421,37.71428571,14.69212137,11.12571429,1720,29.15998812,230.1359964,67.15889605,QR,83.44613278,24.81,43.97,2014
497,1478228052,38.125,25.64379847,11.6125,250,12.9120322,75.41023966,22.07559356,QR,100,24.73,44.02,2008
439,1519228621,38.63636364,19.99158519,12.73636364,460,14.43916824,126.5013409,36.57981999,QR,56.83048088,25.24,44.08,2011
505,1484235652,39.66666667,11.56767429,10.33333333,1470,15.44896252,107.3087031,31.17794762,QR,63.21199124,24.8,44.71,2017
443,1493529824,40,13.86150564,13.49230769,1270,19.16524671,218.6703137,63.74015747,QR,83.23692337,24.92,44.18,2017
455,1535229052,40,19.75127844,8.94,600,18.38364202,140.3267363,40.41573602,QR,92.11208238,25.44,44.11,2017
490,1535229021,40,17.60791015,8.12,600,14.61022011,109.3167696,31.38999568,QR,92.7003512,25.44,44.11,2017
486,1471527824,43.47826087,18.4735566,15.51304348,1090,29.21577495,244.6251386,70.5358403,QR,45.98422099,24.64,44,2015
492,1505532653,45,20.27738204,14.75333333,720,23.25124139,211.4812383,61.78857382,QR,92.22558177,25.07,44.44,2014
441,1510536824,47.2,18.96930378,19.604,1070,30.23962785,365.8781478,102.6585933,QR,58.37388689,25.13,44.81,2015
434,1548228421,49.70588235,18.33670379,11.65294118,850,22.44664024,165.4969272,48.44205641,QR,99.37018784,25.6,44.06,2014
478,1532526453,52.14285714,23.24560956,17.07142857,550,23.34180565,217.7582084,63.09860286,QR,68.95166236,25.4,43.88,2015
437,1496230821,53.33333333,39.13682409,26.725,300,36.08961895,487.4235089,122.8394392,QR,52.28497485,24.95,44.27,2014
504,1548528453,53.88888889,18.84883475,12.62222222,420,11.71947577,90.64531168,26.53550854,QR,87.81124848,25.6,44.06,2014
465,1484541253,54.63157895,21.684949,15.08421053,770,28.43789305,266.5697733,75.60342908,QR,37.60642682,24.8,45.21,2014
494,1494539253,55,24.95893413,23.75,560,27.39870132,341.327534,99.75885941,QR,71.75548823,24.93,45.03,2015
435,1528528453,55.2173913,19.18414849,11.1,1030,29.77228453,268.4586924,78.21510185,QR,78.85343028,25.35,44.06,2016
444,1488528424,56.47058824,19.43882103,9,760,22.55502519,160.1078084,46.47507066,QR,80.35682495,24.86,44.06,2016
450,1482537653,57.5,24.88527845,17.275,480,23.34619603,336.5836732,97.51965064,QR,84.89003842,24.78,44.89,2016
451,1493529853,58.75,20.44013021,15.38125,650,21.32900295,254.4773387,73.70515029,QR,55.37546408,24.92,44.19,2017
452,1519528653,59.23076923,25.78515984,24.26153846,470,24.54298575,301.6643595,87.24285274,QR,52.53221886,25.24,44.08,2011
499,1485234252,60,21.40685326,17.29090909,1010,36.35104658,343.1877531,100.3370334,QR,57.80465864,24.81,44.58,2017
469,1468238052,60.71428571,20.81199712,18.82857143,1160,39.46166313,455.7391486,132.2841175,QR,59.77028248,24.6,44.92,2014
440,1535526253,61.53333333,27.25920334,20.15333333,480,28.01285913,325.7978102,94.2848834,QR,54.76894276,25.44,43.86,2017
448,1510232052,62,22.64797249,21.78,760,30.61696455,369.6874082,107.430037,QR,70.28220491,25.13,44.38,2017
471,1493229821,63.88888889,21.61330609,16.73888889,720,26.41586192,345.4884062,100.1087681,QR,61.21082597,24.91,44.18,2017
