,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
892,1543529053,6,7.934103604,8.88,1000,4.944081439,26.97452517,7.70392439,RP,100,25.54,44.11,2015
905,1483233452,6,6.728095773,8.25,1100,3.910811615,20.27358025,5.790134519,RP,95.07972848,24.79,44.51,2017
923,1490536024,6,6.883192089,8.35,300,1.11632568,5.708812284,1.630436788,RP,100,24.88,44.74,2017
972,1485536253,6,7.097276473,8.353333333,750,2.967116452,15.48230249,4.421745593,RP,100,24.81,44.76,2016
897,1507535424,8,7.159329578,8.32,750,3.01922762,14.96255486,4.105154005,RP,65.31918214,25.09,44.69,2015
901,1506230421,8,7.458598371,8.768965517,1450,6.335375015,33.68990724,9.621837507,RP,100,25.08,44.24,2015
912,1507535453,8,7.366921912,8.838461538,650,2.770609831,14.80654294,4.228748663,RP,100,25.09,44.69,2015
961,1506230452,8,7.242743495,8.923333333,1500,6.179983989,33.29539641,9.509165215,RP,100,25.08,44.24,2015
899,1498527253,9.673076923,9.626166263,11.42307692,2600,18.92212671,117.9853397,33.69661301,RP,100,24.98,43.95,2011
962,1481228221,9.75,9.055633606,7.82,2000,12.88123674,65.21575946,18.6256209,RP,98.90249925,24.76,44.04,2014
896,1482534824,10,8.7,6.7,50,0.297233935,1.316416257,0.375968483,RP,100,24.78,44.63,2015
904,1496236852,10,7.753783196,9.5,1300,6.138475696,34.22485112,9.774617481,RP,100,24.95,44.82,2014
922,1516236452,10,6.470316839,6.933333333,300,0.986420823,4.642735652,1.325965302,RP,100,25.2,44.78,2014
939,1466536853,10,7.484545481,9.157894737,950,4.179692676,22.84496381,6.524521664,RP,100,24.58,44.82,2014
958,1492534824,10,6.728298448,7.8,150,0.533324623,2.648272796,0.75634671,RP,100,24.9,44.63,2015
966,1497232621,10,9.037784881,11.4,2250,14.43432234,92.39306854,26.38746038,RP,100,24.96,44.44,2015
969,1471527053,10,7.150454531,6.48,500,2.007831135,9.127193934,2.606726587,RP,100,24.64,43.93,2015
975,1510236821,10,6.922969016,6.175,200,0.75284341,3.304330142,0.943716689,RP,100,25.13,44.81,2015
979,1497532624,10,8.449378675,8.66,2250,12.61600778,66.29835082,18.93480899,RP,96.94923801,24.97,44.44,2015
980,1506530453,10,7.13376795,9.04516129,1550,6.195259983,33.66483349,9.614676444,RP,100,25.08,44.24,2015
967,1482234852,10.90909091,6.974955197,8.190909091,550,2.101529136,10.78787055,3.08101583,RP,100,24.78,44.64,2015
890,1514241652,11,11.25059998,8.74,250,2.485313948,12.82583736,3.663059151,RP,100,25.18,45.25,2015
937,1481228252,11.19230769,10.10410237,9.776923077,2600,20.84772666,120.0538206,34.28737116,RP,100,24.76,44.04,2014
929,1492530053,11.33333333,10.66498251,8.985185185,1350,12.05990661,62.92430505,17.97118152,RP,100,24.91,44.2,2014
900,1501533053,11.5,7.543904824,9.205,1000,4.469740218,24.38591458,6.964617205,RP,100,25.02,44.47,2016
953,1492534853,11.5625,9.718458597,10.9375,1600,11.8687407,72.88853345,20.81696515,RP,100,24.9,44.64,2015
906,1502539253,11.66666667,8.946787133,9.95,900,5.658047639,32.46595324,8.42280446,RP,53.33666479,25.03,45.03,2014
893,1507235421,12,8.180377218,11.48367347,2450,12.87664216,82.16131245,23.46527084,RP,100,25.09,44.69,2015
903,1507235452,12,9.529318793,11.41041667,2400,17.11688903,108.1689296,30.8930463,RP,96.35471393,25.09,44.69,2015
917,1534226452,12,8.552485019,5.85,100,0.574479487,2.387449608,0.681855608,RP,100,25.42,43.88,2014
954,1486227221,12,10.12242251,12.1,1600,12.8759353,85.00019886,24.27605679,RP,100,24.83,43.95,2016
