,id,age,dg,ht,nha,ba,vol,c_tree,sp_optforeu,pr1,x,y,year
1084,1478540853,12.16666667,11.28914243,5.825,570,5.705407148,27.51214682,6.360519065,SA,71.45805617,24.73,45.18,2013
1077,1481238221,12.83333333,11.40315626,10.99333333,1470,15.01265027,85.32471401,19.4339832,SA,77.30269039,24.76,44.94,2017
1080,1527523824,22.57142857,18.91670558,13.34571429,1600,44.96772052,300.8032924,66.70025746,SA,86.03083004,25.34,43.64,2014
1078,1554224421,25,25.68014392,15.96,480,24.86142543,170.5178245,35.7422412,SA,100,25.67,43.7,2015
1076,1524524053,28.18181818,18.16787657,10.54545455,460,11.92493593,81.05562444,18.40776926,SA,85.74875172,25.3,43.66,2017
1070,1470542453,29.16666667,20.12234455,10.66666667,240,7.632350126,44.1422417,10.91235618,SA,52.23445815,24.62,45.32,2014
1075,1480524424,29.2,40.51180604,27.924,560,72.18402883,966.0710614,202.6695704,SA,99.7977509,24.76,43.7,2015
1079,1510524424,30,33.40407909,19.87272727,280,24.53843829,197.7637804,41.45326601,SA,100,25.13,43.7,2008
1082,1531532624,31.9047619,15.52145794,9.3,990,18.73225671,116.5266393,31.53596748,SA,35.57438897,25.39,44.44,2014
1083,1508540424,32.22222222,21.80098112,10.54444444,360,13.43830395,70.2107009,18.56728967,SA,50.92447187,25.11,45.14,2016
1081,1485527453,35,30.1,9.4,20,1.42315718,4.41959354,0.926391002,SA,100,24.82,43.97,2014
1085,1494237621,37.5,13.61466285,15.64375,1570,22.85616255,198.8086134,51.00355469,SA,42.37144759,24.93,44.89,2014
1072,1498524824,42.35294118,45.80356395,24.84117647,340,56.02312644,562.8197722,120.5765024,SA,93.46134338,24.98,43.73,2016
1069,1470240852,42.69230769,18.43701145,12.51538462,1150,30.70214883,223.9172069,57.60881005,SA,51.8890521,24.62,45.18,2014
1074,1476241252,50,24.72946715,14.12857143,550,26.41691435,192.7573965,45.1549614,SA,77.98543859,24.7,45.21,2015
1086,1466242452,56.66666667,29.83694578,12.56666667,120,8.390345748,50.13827365,11.50216686,SA,81.89942032,24.57,45.32,2015
1073,1506236452,63.5,28.41329166,19.77,350,22.19223407,254.2597588,61.286205,SA,63.22011532,25.08,44.78,2014
1071,1506536453,84.09090909,33.76322492,24.57272727,280,25.06892763,286.8017229,70.61968095,SA,55.89412811,25.08,44.78,2014
