ads,location,age,dia,ht,nha,ba,vol,carbon,dom_sp,dom_sp_share,lat,long,year,biomass
VALL54,vallombrosa,135,27.95,15.41,830,50.93,985.23,250.839558,AA,40.08,43.7332232,11.56563685,2015,501.679116
VALL2172,vallombrosa,107,26.56,19.62,981,54.37,2512.52,639.687592,AA,48.42,43.75943258,11.55814847,2022,1279.375184
VALL121,vallombrosa,72,28.59,17.66,811,52.06,1287.04,327.680384,AA,50.17,43.75016568,11.55783508,2017,655.360768
VALL53,vallombrosa,60,33.8,20,660,59.21,961.75,244.86155,AA,51.3,43.72760205,11.56762852,2015,489.7231
VALL1744,vallombrosa,56,23.2,22.13,1019,43.09,1799.44,458.137424,AA,52.52,43.75133858,11.56756344,2022,916.274848
VALL22,vallombrosa,70,25.31,22.22,1094,55.04,1007.41,256.486586,AA,52.7,43.74248042,11.57623056,2016,512.973172
VALL97,vallombrosa,88,27.51,20.25,1717,102.08,1379.35,351.18251,AA,53.03,43.72986117,11.56573804,2018,702.36502
VALL73,vallombrosa,61,19.72,21.53,1679,51.28,934.34,237.882964,AA,54.15,43.73025615,11.56669646,2015,475.765928
VALL1608,vallombrosa,99,27.98,17.15,698,42.92,1155.93,294.299778,AA,54.65,43.7486735,11.56403384,2022,588.599556
VALL46,vallombrosa,81,31.15,26.89,528,40.24,789.31,200.958326,AA,57.55,43.73992404,11.57056238,2016,401.916652
VALL78,vallombrosa,60,26.97,20.01,925,52.84,757.05,192.74493,AA,62.35,43.7288287,11.56753197,2015,385.48986
VALL62,vallombrosa,70,27.1,16.04,1377,79.41,1219.83,310.568718,AA,63.91,43.73379326,11.568177,2015,621.137436
VALL34,vallombrosa,71,28.82,22.3,943,61.51,1339.79,341.110534,AA,67.21,43.74183042,11.56487351,2016,682.221068
VALL43,vallombrosa,156,30.85,19.47,698,52.17,901.48,229.516808,AA,68.2,43.74080548,11.56681388,2016,459.033616
VALL2479,vallombrosa,128,25.47,14.71,887,45.19,1424.2,362.60132,AA,68.79,43.76440187,11.58037642,2022,725.20264
VALL1450,vallombrosa,74,12.29,8.7,2642,31.35,717.53,182.683138,AA,71.39,43.74592364,11.57287382,2019,365.366276
VALL120,vallombrosa,48,19.07,11.4,1453,41.5,1326.2,337.65052,AA,72.21,43.73975043,11.55618244,2017,675.30104
VALL125,vallombrosa,74,33.03,21.22,792,67.87,1509.89,384.417994,AA,74.11,43.74479427,11.55981906,2017,768.835988
VALL2094,vallombrosa,136,33.74,22.36,509,45.5,1047.14,266.601844,AA,74.73,43.75796425,11.56427802,2022,533.203688
VALL1451,vallombrosa,75,16.61,11.31,1943,42.09,1186.14,301.991244,AA,76.55,43.74608854,11.57509759,2019,603.982488
VALL28,vallombrosa,73,28.1,22.69,849,52.65,1278.9,325.60794,AA,76.6,43.74182739,11.57084604,2016,651.21588
VALL72,vallombrosa,78,27.04,20.11,1226,70.4,1268.19,322.881174,AA,77.29,43.7300815,11.56907546,2015,645.762348
