ads,location,age,dia,ht,nha,ba,vol,carbon,dom_sp,dom_sp_share,lat,long,year,biomass
VALL2103,vallombrosa,92,27.56,12.54,849,50.63,1050.15,435.60222,FS,38.25,43.75744897,11.58533112,2022,871.20444
VALL415,vallombrosa,78,32.83,26.13,509,43.1,1161.66,481.856568,FS,38.39,43.72746653,11.5510987,2022,963.713136
VALL70,vallombrosa,60,21.5,9.19,679,24.66,219.8,91.17304,FS,42.2,43.73029383,11.56804158,2015,182.34608
VALL74,vallombrosa,90,25.43,15.78,1094,55.57,729.53,302.609044,FS,43.02,43.72953003,11.56757436,2015,605.218088
VALL36,vallombrosa,71,24.79,23.48,962,46.45,658.96,273.336608,FS,46.1,43.74089796,11.57222188,2016,546.673216
VALL65,vallombrosa,70,20.4,13.6,925,30.22,319.19,132.400012,FS,51.48,43.7328641,11.56480201,2015,264.800024
VALL281,vallombrosa,99,21.35,13.06,1151,41.2,1112.68,461.539664,FS,54.99,43.72550435,11.55452199,2023,923.079328
VALL15,vallombrosa,71,27.96,23.56,528,32.42,639.92,265.438816,FS,62.08,43.74419315,11.56594592,2016,530.877632
VALL1769,vallombrosa,139,18.49,10.25,774,20.78,615.24,255.201552,FS,68.54,43.75146514,11.56192744,2022,510.403104
VALL691,vallombrosa,90,25.62,15.03,1189,61.31,1554.13,644.653124,FS,71.3,43.73198231,11.56517609,2023,1289.306248
RIN33,Rincine,36,27.54,15.97,794,47.3,400,165.92,FS,71.7,43.88056715,11.63449727,2016,331.84
VALL95,vallombrosa,152,27.19,11.54,604,35.06,532.23,220.769004,FS,72.35,43.73475156,11.56413317,2016,441.538008
VALL103,vallombrosa,59,28.95,14.42,1075,70.76,872.07,361.734636,FS,73.1,43.73709906,11.56603951,2016,723.469272
VALL19,vallombrosa,157,24.24,11.39,962,44.4,1201.12,498.224576,FS,73.9,43.74250635,11.57285933,2016,996.449152
VALL2531,vallombrosa,83,33.74,27.22,472,42.21,908.05,376.65914,FS,79.39,43.76514656,11.57623914,2023,753.31828
