ads,location,age,dia,ht,nha,ba,vol,carbon,dom_sp,dom_sp_share,lat,long,year,biomass
VALL49,vallombrosa,81,33.43,19.68,981,86.09,1127.06,331.975523,PM,42.94,43.73952629,11.56513335,2016,663.951046
VALL1414,vallombrosa,61,23.71,15.49,1000,44.16,2116.34,623.367947,PM,54.41,43.74547694,11.55325497,2023,1246.735894
VALL41,vallombrosa,88,35.27,24.59,566,55.29,1148.73,338.3584215,PM,58.4,43.74015243,11.57168629,2016,676.716843
VALL1572,vallombrosa,26,43.62,32.42,472,70.53,1188.95,350.2052225,PM,74.98,43.7487374,11.54377899,2023,700.410445
VALL119,vallombrosa,54,33.83,27.77,509,45.74,898.94,264.782777,PM,78.56,43.75478754,11.55912789,2018,529.565554
VALL51,vallombrosa,89,57.14,30.09,264,67.69,979.52,288.517616,PM,80.5,43.73859166,11.56683368,2016,577.035232
RIN45,Rincine,47,25.27,20.17,983,49.3,525.4,154.75657,PM,80.83,43.87146728,11.62263582,2016,309.51314
VALL64,vallombrosa,88,62.72,35.98,208,64.27,1228.83,361.9518765,PM,85.12,43.73297297,11.5670138,2015,723.903753
RIN22,Rincine,49,33.79,21.89,397,35.6,483.3,142.356015,PM,85.65,43.87287869,11.61380233,2016,284.71203
VALL99,vallombrosa,84,39.16,24.08,925,111.38,1300.34,383.015147,PM,86.77,43.73545066,11.5679778,2016,766.030294
VALL25,vallombrosa,90,56.49,36.85,396,99.24,1723.26,507.586233,PM,87.08,43.74251863,11.56518229,2016,1015.172466
RIN38,Rincine,46,39.01,27.83,435,52,776.1,228.600255,PM,89.1,43.87697029,11.62250768,2016,457.20051
RIN43,Rincine,46,35.35,25.05,586,57.5,785,231.22175,PM,91.39,43.87349231,11.62616326,2016,462.4435
RIN42,Rincine,46,31.62,22.69,699,54.9,649.6,191.33968,PM,93.81,43.8736069,11.61476159,2016,382.67936
RIN12,Rincine,44,27.77,18.27,1040,63,667.1,196.494305,PM,94.63,43.87593594,11.63295739,2016,392.98861
VALL148,vallombrosa,63,34.67,29.53,660,62.31,876.25,258.0994375,PM,95.22,43.7477536,11.5416232,2017,516.198875
RIN48,Rincine,44,42.33,23.8,491,69.1,845.1,248.924205,PM,95.9,43.87090165,11.63164576,2016,497.84841
VALL1962,vallombrosa,108,36,17.11,830,84.49,3513.77,1034.980954,PM,96.01,43.75593064,11.57256963,2023,2069.961907
VALL1073,vallombrosa,178,23.68,14.07,925,40.73,485.53,143.0128615,PM,96.64,43.73898745,11.57514092,2019,286.025723
RIN41,Rincine,44,46.77,23.99,397,68.2,1052.9,310.131695,PM,97.27,43.87444052,11.63361519,2016,620.26339
VALL48,vallombrosa,89,41.17,22.32,415,55.25,1100.96,324.287768,PM,97.34,43.73989862,11.571533,2016,648.575536
RIN40,Rincine,46,32.73,24.18,699,58.8,794.4,233.99052,PM,98.42,43.87640659,11.62235224,2016,467.98104
VALL1008,vallombrosa,96,29.01,13.5,1585,104.78,5704.4,1680.23102,PM,98.81,43.73852271,11.54821758,2023,3360.46204
VALL2697,vallombrosa,47,28.72,25.84,1302,84.34,1015.37,299.0772335,PM,99.49,43.7397681,11.54250732,2023,598.154467
VALL663,vallombrosa,84,55.14,39.44,509,121.56,2208.02,650.372291,PM,99.8,43.73163296,11.56411648,2019,1300.744582
A06,podernovo,47,34.72,29.9,336.1,31.82,441.2051,129.9569622,PM,100,43.776988,11.54414836,2014,259.9139244
