ads,location,age,dia,ht,nha,ba,vol,carbon,dom_sp,dom_sp_share,lat,long,year,biomass
RIN31,Rincine,40,27.5,14.89,1059,62.9,597,186.59235,PN,31.01,43.88058034,11.62705068,2016,373.1847
VALL690,vallombrosa,53,29.49,18.05,623,42.56,743.53,232.3903015,PN,34.19,43.73241113,11.56305289,2019,464.780603
VALL1380,vallombrosa,86,18.15,11.9,1415,36.63,303.08,94.727654,PN,40.69,43.74591907,11.53622279,2022,189.455308
VALL64A,vallombrosa,129,37.45,24.47,623,68.62,1258.24,393.262912,PN,40.99,43.76101184,11.57559495,2018,786.525824
RIN50,Rincine,52,16.86,11.51,2212,49.4,363.8,113.70569,PN,42.7,43.86926843,11.62509326,2016,227.41138
VALL1275,vallombrosa,58,20.6,12.16,1302,43.4,1615.98,505.074549,PN,45.47,43.74284891,11.54235217,2023,1010.149098
VALL1823,vallombrosa,65,24.4,19.43,962,45,551.29,172.3056895,PN,52.79,43.75290677,11.56169144,2022,344.611379
VALL85,vallombrosa,62,14.47,12.07,3453,56.77,517.47,161.7352485,PN,53.6,43.73433338,11.56209087,2016,323.470497
VALL113,vallombrosa,66,27.05,11.71,698,40.11,339.82,106.210741,PN,54.89,43.74680338,11.55658353,2017,212.421482
VALL155,vallombrosa,61,18.31,11.79,1547,40.75,1769.72,553.125986,PN,55.2,43.74567778,11.54129607,2017,1106.251972
VALL157,vallombrosa,84,32.77,17.07,566,47.75,552.59,172.7120045,PN,58.66,43.74453152,11.54295375,2017,345.424009
VALL1583,vallombrosa,75,20.36,14.84,2094,68.15,811.51,253.6374505,PN,61.04,43.74868683,11.56919518,2022,507.274901
VALL131,vallombrosa,82,29.45,14.77,698,47.56,675.73,211.1994115,PN,73.42,43.75332106,11.54485226,2017,422.398823
VALL118,vallombrosa,77,21.06,16.88,1000,34.85,362.86,113.411893,PN,74.87,43.75323197,11.5575056,2017,226.823786
VALL123,vallombrosa,84,17.66,10.91,2038,49.91,987.51,308.6462505,PN,75.95,43.74580679,11.5379835,2017,617.292501
VALL1171,vallombrosa,21,30.69,23.03,1075,79.5,1016.43,317.6851965,PN,79.11,43.7414412,11.55251637,2022,635.370393
VALL1716,vallombrosa,137,37.62,17.53,547,60.8,823.16,257.278658,PN,81.1,43.75071478,11.56409548,2023,514.557316
VALL112,vallombrosa,62,15.97,9.67,2849,57.08,357.2,111.64286,PN,81.37,43.73464896,11.56277312,2016,223.28572
VALL141,vallombrosa,16,29.88,24.31,1075,75.36,1019.24,318.563462,PN,81.59,43.74174026,11.5521923,2017,637.126924
VALL1523,vallombrosa,127,29.07,13.93,528,35.05,374.62,117.087481,PN,82.14,43.7474906,11.55668481,2023,234.174962
VALL156,vallombrosa,90,26.27,14.95,1528,82.84,1486.38,464.568069,PN,83.36,43.74611725,11.53543846,2017,929.136138
VALL1327,vallombrosa,93,17.54,11.36,2132,51.52,886.83,277.1787165,PN,84.98,43.74457126,11.53802083,2023,554.357433
VALL158,vallombrosa,62,29.15,21.22,868,57.92,804.53,251.4558515,PN,88.76,43.74621954,11.5334704,2017,502.911703
VALL161,vallombrosa,87,26.94,15.54,1264,72.05,1662.09,519.4862295,PN,89.24,43.7446915,11.53677285,2017,1038.972459
VALL154,vallombrosa,81,24.87,20.38,1038,50.41,636.28,198.869314,PN,90.9,43.74565413,11.5373253,2017,397.738628
VALL152,vallombrosa,77,22.81,16.66,1981,80.92,1091.15,341.0389325,PN,92.8,43.74719301,11.53734416,2017,682.077865
VALL129,vallombrosa,68,30.03,20.68,1189,84.24,1298.07,405.7117785,PN,92.97,43.75476353,11.5470767,2017,811.423557
VALL68,vallombrosa,63,27.27,10.76,642,37.51,224.11,70.0455805,PN,93.01,43.73118234,11.56819534,2015,140.091161
VALL1696,vallombrosa,83,30.75,16.96,943,70.02,843.38,263.598419,PN,93.62,43.74993307,11.58092168,2023,527.196838
VALL117,vallombrosa,80,27.15,18.43,1585,91.75,1093.37,341.7327935,PN,94.59,43.75299048,11.55831321,2017,683.465587
VALL162,vallombrosa,87,35.75,23.02,925,92.84,1628.97,509.1345735,PN,94.84,43.742323,11.53711624,2017,1018.269147
RIN8,Rincine,40,24.12,14.88,1493,68.2,574,179.4037,PN,95.2,43.8787269,11.62788593,2016,358.8074
RIN35,Rincine,40,30.81,17.57,907,67.6,718.8,224.66094,PN,95.58,43.87937292,11.62908075,2016,449.32188
VALL149,vallombrosa,84,36.19,23.15,792,81.47,1164.94,364.101997,PN,96.36,43.74772483,11.54008542,2017,728.203994
VALL816,vallombrosa,76,31.72,24.7,1000,79.02,1158.81,362.1860655,PN,96.45,43.73558661,11.54383969,2022,724.372131
VALL160,vallombrosa,88,34.72,17.69,642,60.78,849.89,265.6331195,PN,96.53,43.74447678,11.53455282,2017,531.266239
RIN4,Rincine,40,25.49,16.1,1115,56.9,528.1,165.057655,PN,97.17,43.87986791,11.63103399,2016,330.11531
VALL38A,vallombrosa,81,22.72,11.36,1774,71.91,3461.7,1081.954335,PN,97.35,43.75730421,11.55743436,2018,2163.90867
VALL150,vallombrosa,86,24.55,13.66,1396,66.09,935.35,292.3436425,PN,97.6,43.74870285,11.53708591,2017,584.687285
VALL134,vallombrosa,88,30.31,19.48,1302,93.94,1608.9,502.861695,PN,98.07,43.74565872,11.53187932,2017,1005.72339
RIN2,Rincine,40,29.48,15.45,983,67.1,619.4,193.59347,PN,98.1,43.88174875,11.62782135,2016,387.18694
VALL1270,vallombrosa,94,33.23,24.86,1019,88.37,1323.94,413.797447,PN,99.51,43.74415167,11.5323235,2023,827.594894
VALL159,vallombrosa,88,37.27,31.22,925,100.89,1749.06,546.668703,PN,99.68,43.74689116,11.54419744,2017,1093.337406
RIN15,Rincine,45,30.16,20.29,756,54,645.7,201.813535,PN,100,43.87548585,11.62900325,2016,403.62707
RIN28,Rincine,45,29.61,13.67,813,56,509.6,159.27548,PN,100,43.86987105,11.62217726,2016,318.55096
RIN37,Rincine,40,31.41,17.42,888,68.8,598.2,186.96741,PN,100,43.87835454,11.63047524,2016,373.93482
RIN47,Rincine,44,29.61,17.97,870,59.9,647.2,202.28236,PN,100,43.87108654,11.62596257,2016,404.56472
RIN9,Rincine,40,29.69,14.46,813,56.3,557.2,174.15286,PN,100,43.87932509,11.63123762,2016,348.30572
RINBB10,Rincine,29,20.33,20.36,1619,52.54,479.34,149.817717,PN,100,43.88848191,11.59888808,2019,299.635434
RINBB50,Rincine,30,15.74,15.71,2893,56.29,387.44,121.094372,PN,100,43.88731091,11.61908171,2019,242.188744
RINBB9,Rincine,29,20.51,20.54,2043,67.51,621.17,194.1466835,PN,100,43.8867284,11.60271602,2019,388.293367
