ads,location,age,dia,ht,nha,ba,vol,carbon,dom_sp,dom_sp_share,lat,long,year,biomass
VALL26,vallombrosa,62,12.87,9.3,2075,27.01,183.87,83.0632725,QC,38.2,43.74234849,11.56218192,2016,166.126545
RINBB25,Rincine,21,18.79,18.57,1326,36.78,228.31,103.1390425,QC,40.9,43.88268972,11.61176004,2019,206.278085
VALL130,vallombrosa,77,20.85,13.03,1283,43.81,794.12,358.74371,QC,54.03,43.75367441,11.55421186,2017,717.48742
RINBB42,Rincine,40,24.48,24.56,864,40.67,461.93,208.6768775,QC,59.3,43.89420699,11.59367907,2019,417.353755
RINBB26,Rincine,45,18.25,18.64,1149,30.07,187.74,84.811545,QC,59.7,43.88217395,11.60971747,2019,169.62309
RIN20,Rincine,11,41.34,15.21,76,10.2,79.1,35.733425,QC,63.6,43.87357349,11.61821802,2016,71.46685
RIN11,Rincine,35,13.93,14.65,1890,28.8,225.6,101.9148,QC,67.5,43.87769938,11.61336377,2016,203.8296
RINBB43,Rincine,25,12.47,12.58,1767,21.58,124.66,56.315155,QC,69.4,43.88417796,11.61774405,2019,112.63031
RINBB44,Rincine,35,19.62,19.85,1431,43.25,391.46,176.842055,QC,72.9,43.88478785,11.61994716,2019,353.68411
RINBB45,Rincine,39,24.97,24.45,1302,63.77,774.27,349.7764725,QC,73.9,43.88571607,11.62535977,2019,699.552945
RINBB28,Rincine,24,16.43,16.97,1392,29.51,218.54,98.725445,QC,74.1,43.87953942,11.60941999,2019,197.45089
VALL122,vallombrosa,75,21.97,16.37,1132,42.93,492.13,222.3197275,QC,78.24,43.74575096,11.55951756,2017,444.639455
RINBB16,Rincine,41,27.53,27.55,715,42.57,480.34,216.993595,QC,78.3,43.8955818,11.60259228,2019,433.98719
RINBB30,Rincine,40,9.15,9.33,1923,12.64,50.99,23.0347325,QC,81.3,43.87651019,11.60645523,2019,46.069465
RIN32,Rincine,36,12.83,9.29,2042,26.4,125.3,56.604275,QC,81.55,43.88029473,11.61769274,2016,113.20855
RINBB32,Rincine,28,17.12,17.99,1488,34.26,199.54,90.142195,QC,82.6,43.87682802,11.60221202,2019,180.28439
VALL133,vallombrosa,80,20.74,11.59,698,23.57,306.34,138.389095,QC,83.3,43.75338411,11.54691552,2017,276.77819
RINBB27,Rincine,21,20.95,20.91,884,30.47,178.06,80.438605,QC,83.6,43.88129599,11.61341307,2019,160.87721
RINBB15,Rincine,45,27.87,27.19,568,34.66,350.86,158.501005,QC,83.9,43.89619959,11.60345658,2019,317.00201
RINBB40,Rincine,42,22.27,22.37,772,30.08,243.26,109.892705,QC,84.2,43.89338833,11.5911844,2019,219.78541
RINBB14,Rincine,47,24.92,24.78,819,39.93,276.94,125.107645,QC,84.5,43.89376338,11.60648955,2019,250.21529
RINBB24,Rincine,21,17.88,17.44,1453,36.48,253.85,114.6767375,QC,85.2,43.88397481,11.6093719,2019,229.353475
RINBB41,Rincine,42,22.23,22.94,689,26.73,218.75,98.8203125,QC,86.9,43.89074512,11.59161781,2019,197.640625
RIN3,Rincine,15,9.59,9.39,3270,23.6,144.2,65.14235,QC,87.03,43.88175218,11.6159911,2016,130.2847
RINBB11,Rincine,30,23.59,23.45,760,33.22,317.37,143.3718975,QC,87.2,43.89081737,11.60375107,2019,286.743795
RINBB21,Rincine,40,18.41,18.52,923,24.58,179.39,81.0394325,QC,87.8,43.88309929,11.60282543,2019,162.078865
RIN1,Rincine,20,29.84,19.09,246,17.2,187,84.47725,QC,88.3,43.88289226,11.6211809,2016,168.9545
RINBB51,Rincine,38,21.91,21.78,807,30.42,220.33,99.5340775,QC,89.3,43.88617908,11.6161802,2019,199.068155
RIN5,Rincine,20,19.28,11.26,1021,29.8,215.8,97.48765,QC,90.83,43.88067774,11.62247323,2016,194.9753
VALL127,vallombrosa,77,20.84,12.35,906,30.91,356.49,161.0443575,QC,91.68,43.75475416,11.54837366,2017,322.088715
RINBB22,Rincine,40,24.36,24.2,800,37.28,322.39,145.6396825,QC,92.6,43.88260244,11.6035732,2019,291.279365
RINBB8,Rincine,18,21.9,21.86,933,35.13,236.98,107.055715,QC,93.21,43.88317889,11.61528942,2019,214.11143
RINBB29,Rincine,22,17.73,17.81,1279,31.58,179.38,81.034915,QC,95.7,43.87719437,11.61106223,2019,162.06983
RIN6,Rincine,49,20.33,13.27,832,27,213.8,96.58415,QC,95.9,43.88048284,11.61972,2016,193.1683
RINBB1,Rincine,50,25.46,25,916,46.62,490.53,221.5969275,QC,96.3,43.88555886,11.61392864,2019,443.193855
RINBB52,Rincine,32,21.33,21.48,1156,41.32,309.55,139.8392125,QC,96.3,43.88562087,11.61932128,2019,279.678425
RIN39,Rincine,25,15.64,12.1,1493,28.7,220.1,99.430175,QC,96.5,43.87663552,11.61411068,2016,198.86035
RINBB18,Rincine,40,21.38,21.08,555,19.92,130.89,59.1295575,QC,97.3,43.89093445,11.59307836,2019,118.259115
RINBB23,Rincine,20,18.55,18.99,851,23,160.21,72.3748675,QC,98.3,43.88286213,11.60615576,2019,144.749735
RINBB57,Rincine,40,16.64,16.66,1687,36.7,257.04,116.11782,QC,98.3,43.87587487,11.60871832,2019,232.23564
RIN36,Rincine,43,13.93,9.7,2079,31.7,181.6,82.0378,QC,98.7,43.87878116,11.61532341,2016,164.0756
RIN34,Rincine,32,14.67,9.45,1739,29.4,158.8,71.7379,QC,99,43.8795033,11.61747745,2016,143.4758
