stand_ID,lat,lon
RO_AC_0-20,44.38,25.48
RO_AC_20-40,44.371,25.084
RO_AC_40-60,45.34,24.637
RO_CB_0-20,44.867,24.796
RO_CB_20-40,44.939,24.862
RO_CB_40-60,44.988,24.818
RO_CB_60-80,44.786,24.952
RO_CB_80-100,45.109,24.872
RO_FS_0-20,45.316,24.838
RO_FS_100-120,45.208,24.829
RO_FS_120-140,45.349,24.749
RO_FS_140-160,45.366,24.711
RO_FS_20-40,45.268,24.832
RO_FS_40-60,45.229,24.855
RO_FS_60-80,45.306,24.85
RO_FS_80-100,45.217,24.88
RO_PA_0-20,45.411,24.717
RO_PA_100-120,45.41,24.967
RO_PA_120-140,45.494,25.073
RO_PA_20-40,45.445,24.885
RO_PA_40-60,45.4,25.069
RO_PA_60-80,45.464,24.948
RO_PA_80-100,45.457,24.861
RO_QC_0-20,44.342,24.921
RO_QC_100-120,44.17,24.95
RO_QC_20-40,44.4,25.143
RO_QC_40-60,44.401,25.268
RO_QC_60-80,44.317,25.261
RO_QC_80-100,44.51,24.882
RO_QP_0-20,44.915,24.999
RO_QP_100-120,44.828,24.837
RO_QP_120-140,44.926,24.95
RO_QP_20-40,44.801,24.891
RO_QP_40-60,44.973,24.869
RO_QP_60-80,44.957,24.845
RO_QP_80-100,44.911,24.803
RO_QR_0-20,43.95,24.98
RO_QR_100-120,44.14,25.052
RO_QR_120-140,43.97,24.67
RO_QR_20-40,44.3,25.036
RO_QR_40-60,44.393,25.049
RO_QR_60-80,44.284,24.897
RO_QR_80-100,44.356,24.91
RO_RP_0-20,44.293,25.027
RO_RP_20-40,44.882,24.799
RO_RP_40-60,44.988,24.838
RO_RP_60-80,45.14,24.65
RO_SA_0-20,45.009,24.751
RO_SA_20-40,44.146,25.152
RO_SA_40-60,44.783,24.738
RO_SA_60-80,44.78,25.08
RO_SA_80-100,44.78,25.08
